district,year,planted_ha,harvested_ha,production_mt,yield(mt/ha),yield,yield_h,zyield,flag
kabompo,2021,13670,12051,35302,2.58,2.582443306510607,2.9293834536552983,0.01045710506641595,0
kabompo,2022,11391,9526,32434,2.85,2.847335615837064,3.404786899013227,0.9237237789927703,0
kabwe,2011,5526,5084,25637,4.64,4.639341295693087,5.0426829268292686,2.4795082601637866,1
kabwe,2012,5313,4611,17705,3.33,3.3323922454357238,3.839731077857298,0.8074754372968437,0
kabwe,2013,7158,5899,18639,2.6,2.603939647946354,3.1596880827258857,-0.12446345708091436,0
kabwe,2014,7265,6776,20559,2.83,2.8298692360633173,3.034090909090909,0.16457741020766398,0
kabwe,2015,10206,6963,23645,2.32,2.316774446404076,3.3958064052850783,-0.49184552332851506,0
kabwe,2016,9854,8668,24648,2.5,2.5013192612137205,2.8435625288417166,-0.2557498717108298,0
kabwe,2017,8912,8402,27956,3.14,3.1368940754039496,3.3273030230897405,0.5573667149719909,0
kabwe,2018,9389,6172,15080,1.61,1.6061348386409628,2.443292287751134,-1.4009955389126982,0
kabwe,2019,8873,7111,17576,1.98,1.9808407528457117,2.4716636197440587,-0.921619095470369,0
kabwe,2020,8872,7893,18171,2.05,2.0481289449954914,2.3021664766248575,-0.8355345875519813,0
kabwe,2021,9604,8521,31407,3.27,3.270199916701374,3.6858349958925007,0.7279102737169121,0
kabwe,2022,8315,6341,17868,2.15,2.1488875526157547,2.8178520738053936,-0.7066300223018851,0
kafue,2011,18797,13624,40872,2.17,2.174389530244188,3.0,-0.23854973648777134,0
kafue,2012,13437,11785,35002,2.6,2.6048969263972612,2.970046669495121,0.35466642968241574,0
kafue,2013,16037,13840,40698,2.54,2.537756438236578,2.940606936416185,0.2621504280123455,0
kafue,2014,18525,16546,70649,3.81,3.813711201079622,4.269853741085459,2.020347846649045,1
kafue,2015,19152,14114,44412,2.32,2.318922305764411,3.146662887912711,-0.039391302170054966,0
kafue,2016,17055,16545,48509,2.84,2.8442685429492816,2.931943185252342,0.6845077144775779,0
kafue,2017,20034,17541,54319,2.71,2.711340720774683,3.096687760104897,0.501340285178106,0
kafue,2018,18961,14136,35216,1.86,1.8572860081219345,2.491228070175439,-0.6755014296604027,0
kafue,2019,22960,7704,14261,0.62,0.6211236933797909,1.851116303219107,-2.3788669831169074,1
kafue,2020,19684,15337,39615,2.01,2.0125482625482625,2.582969289952403,-0.4615583472772665,0
kafue,2021,20048,18458,54929,2.74,2.7398743016759775,2.9758912124823924,0.5406580335388202,0
kafue,2022,23740,17901,45913,1.93,1.9339932603201349,2.564828780515055,-0.569802938825912,0
kalabo,2011,7163,5805,8020,1.12,1.1196426078458745,1.3815676141257536,2.5240623645890117,1
kalabo,2012,7152,2930,3790,0.53,0.5299217002237137,1.2935153583617747,0.08025019676105376,0
kalabo,2013,7742,2557,3085,0.4,0.3984758460346164,1.2064919827923348,-0.464463368123557,0
kalabo,2014,6892,3190,3621,0.53,0.52539175856065,1.1351097178683385,0.06147805147561207,0
kalabo,2015,9295,2491,2092,0.23,0.22506724045185583,0.8398233641107988,-1.183071195744869,0
kalabo,2016,8425,3723,3197,0.38,0.37946587537091986,0.8587160891753962,-0.5432409678619053,0
kalabo,2017,12272,6504,6219,0.51,0.5067633637548892,0.9561808118081181,-0.015718292260922483,0
kalabo,2018,10538,5130,5918,0.56,0.5615866388308977,1.1536062378167642,0.21147017092439405,0
kalabo,2019,11215,1477,1258,0.11,0.11217119928666965,0.8517264725795531,-1.6509140609597774,0
kalabo,2020,13970,8830,6111,0.44,0.4374373657838225,0.6920724801812005,-0.3030062537334666,0
kalabo,2021,13401,7446,8571,0.64,0.6395791358853817,1.1510878323932312,0.534672232844764,0
kalabo,2022,10854,5721,7502,0.69,0.6911737608255021,1.3113092116762803,0.7484811220896596,0
kalomo,2011,75923,60377,173069,2.28,2.2795332112798494,2.8664723321794723,1.4799150642737455,0
kalomo,2012,90236,62569,182096,2.02,2.0179972516512255,2.9103230034042418,1.01120403595564,0
kalomo,2013,95477,67218,152434,1.6,1.5965520491846203,2.2677556606861256,0.25591205045448,0
kalomo,2014,93231,66707,190177,2.04,2.039847261104139,2.8509301872367216,1.0503624767833488,0
kalomo,2015,97518,36994,106764,1.09,1.0948132652433398,2.8859815105152187,-0.6432778800702973,0
kalomo,2016,96544,73635,148391,1.54,1.5370297480941333,2.0152237387112106,0.14923930460493112,0
kalomo,2017,107195,93471,187864,1.75,1.7525444283781892,2.009864021996127,0.5354734100680028,0
kalomo,2018,101868,80078,135365,1.33,1.3288275022578238,1.6904143460126377,-0.22388983940511953,0
kalomo,2019,130779,13320,20958,0.16,0.16025508682586653,1.5734234234234235,-2.3181440263973814,1
kalomo,2020,108385,73287,146394,1.35,1.3506850578954652,1.9975439027385484,-0.18471787470096693,0
kalomo,2021,130463,101091,195778,1.5,1.5006400282072312,1.9366511361050935,0.08402355739901246,0
kalomo,2022,129306,61066,101679,0.79,0.786344021159111,1.665067304228212,-1.1961002789653958,0
