,district,year,yield
624,kabompo,1999,4.270866666666667
625,kabompo,2000,4.18531
626,kabompo,2001,4.17452
627,kabompo,2002,4.30303
628,kabompo,2003,3.92549
629,kabompo,2004,4.26894
630,kabompo,2005,3.97784
631,kabompo,2006,3.95627
632,kabompo,2007,3.93228
633,kabompo,2008,4.03856
634,kabompo,2009,4.03312
635,kabompo,2010,3.92611
636,kabompo,2011,3.9785700000000004
637,kabompo,2012,3.99581
638,kabompo,2013,4.16716
639,kabompo,2014,3.9949700000000004
640,kabompo,2015,3.9789999999999996
641,kabompo,2016,3.98605
642,kabompo,2017,4.26745
643,kabompo,2018,3.83296
644,kabompo,2019,3.76202
645,kabompo,2020,3.9669
646,kabompo,2021,4.16903
647,kabompo,2022,3.863576923076923
648,kabwe,1999,4.3186
649,kabwe,2000,4.1776800000000005
650,kabwe,2001,4.1312
651,kabwe,2002,4.25176
652,kabwe,2003,3.9356600000000004
653,kabwe,2004,4.3415300000000006
654,kabwe,2005,4.00392
655,kabwe,2006,3.98552
656,kabwe,2007,3.8760399999999997
657,kabwe,2008,4.05487
658,kabwe,2009,4.11026
659,kabwe,2010,3.87685
660,kabwe,2011,4.00008
661,kabwe,2012,4.00023
662,kabwe,2013,4.0925400000000005
663,kabwe,2014,3.99442
664,kabwe,2015,3.90094
665,kabwe,2016,3.8814699999999998
666,kabwe,2017,4.21468
667,kabwe,2018,3.83624
668,kabwe,2019,3.74493
669,kabwe,2020,3.97152
670,kabwe,2021,4.13598
671,kabwe,2022,3.6807222222222227
672,kafue,1999,4.24952
673,kafue,2000,4.17997
674,kafue,2001,4.17741
675,kafue,2002,4.31387
676,kafue,2003,3.93755
677,kafue,2004,4.2663400000000005
678,kafue,2005,4.00245
679,kafue,2006,3.9559
680,kafue,2007,3.87952
681,kafue,2008,4.05215
682,kafue,2009,4.03852
683,kafue,2010,3.94531
684,kafue,2011,4.01214
685,kafue,2012,4.06083
686,kafue,2013,4.11771
687,kafue,2014,4.002269999999999
688,kafue,2015,3.8887400000000003
689,kafue,2016,3.9427
690,kafue,2017,4.2544900000000005
691,kafue,2018,3.87616
692,kafue,2019,3.7794499999999998
693,kafue,2020,3.97182
694,kafue,2021,4.21534
695,kafue,2022,4.07942
696,kalabo,1999,4.2732600000000005
697,kalabo,2000,4.150110000000001
698,kalabo,2001,4.30144
699,kalabo,2002,4.23813
700,kalabo,2003,3.9808800000000004
701,kalabo,2004,4.285419999999999
702,kalabo,2005,4.04381
703,kalabo,2006,3.97005
704,kalabo,2007,3.8861399999999997
705,kalabo,2008,4.048500000000001
706,kalabo,2009,4.05201
707,kalabo,2010,3.93883
708,kalabo,2011,3.94811
709,kalabo,2012,4.02838
710,kalabo,2013,4.17315
711,kalabo,2014,3.9848199999999996
712,kalabo,2015,3.91896
713,kalabo,2016,4.01202
714,kalabo,2017,4.27843
715,kalabo,2018,3.88748
716,kalabo,2019,3.7671300000000003
717,kalabo,2020,3.97897
718,kalabo,2021,4.21599
719,kalabo,2022,3.821384615384616
720,kalomo,1999,4.2999600000000004
721,kalomo,2000,4.21637
722,kalomo,2001,4.16567
723,kalomo,2002,4.22879
724,kalomo,2003,3.99878
725,kalomo,2004,4.26002
726,kalomo,2005,3.9740699999999998
727,kalomo,2006,3.95282
728,kalomo,2007,3.86656
729,kalomo,2008,4.04157
730,kalomo,2009,4.05964
731,kalomo,2010,3.9099500000000003
732,kalomo,2011,3.99801
733,kalomo,2012,4.018879999999999
734,kalomo,2013,4.13993
735,kalomo,2014,3.98329
736,kalomo,2015,3.9178699999999997
737,kalomo,2016,3.89141
738,kalomo,2017,4.22124
739,kalomo,2018,3.87252
740,kalomo,2019,3.73983
741,kalomo,2020,3.97084
742,kalomo,2021,4.1053500000000005
743,kalomo,2022,3.917576923076923
744,kalulushi,1999,4.25754
745,kalulushi,2000,4.157509999999999
746,kalulushi,2001,4.21299
747,kalulushi,2002,4.03894
748,kalulushi,2003,3.96435
749,kalulushi,2004,4.30014
750,kalulushi,2005,3.968
751,kalulushi,2006,3.97029
752,kalulushi,2007,3.88606
753,kalulushi,2008,4.01857
754,kalulushi,2009,4.04704
755,kalulushi,2010,3.9160899999999996
756,kalulushi,2011,4.01924
757,kalulushi,2012,3.9751800000000004
758,kalulushi,2013,4.10544
759,kalulushi,2014,3.9810399999999997
760,kalulushi,2015,3.9258800000000003
761,kalulushi,2016,3.98456
762,kalulushi,2017,4.28087
763,kalulushi,2018,3.87774
764,kalulushi,2019,3.75798
765,kalulushi,2020,3.9805
766,kalulushi,2021,4.22126
767,kalulushi,2022,3.989843137254902
768,kalumbila,1999,4.246053333333333
769,kalumbila,2000,4.17638
770,kalumbila,2001,4.20799
771,kalumbila,2002,4.250299999999999
772,kalumbila,2003,3.94856
773,kalumbila,2004,4.3129
774,kalumbila,2005,4.00505
775,kalumbila,2006,3.91245
776,kalumbila,2007,3.89548
777,kalumbila,2008,4.0224
778,kalumbila,2009,4.114920000000001
779,kalumbila,2010,3.94666
780,kalumbila,2011,4.00532
781,kalumbila,2012,3.9852999999999996
782,kalumbila,2013,4.10592
783,kalumbila,2014,3.9784800000000002
784,kalumbila,2015,3.93166
785,kalumbila,2016,3.8987
786,kalumbila,2017,4.25134
787,kalumbila,2018,3.79915
788,kalumbila,2019,3.77323
